OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Residential,1813.039,560 EAST 550 NORTH,BOUNTIFUL,
Residential,988.9368,305 NORTH 200 EAST,BOUNTIFUL,
Residential,2373.441,1220 EAST CENTER STREET,BOUNTIFUL,
Agriculture,2785.493,,,
Residential,1038.377,767 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,1318.587,1190 EAST 500 NORTH,BOUNTIFUL,
Residential,2241.577,36 NORTH 800 EAST,BOUNTIFUL,
Commercial,4285.384,499 NORTH 200 WEST,BOUNTIFUL,
Residential,1071.341,116 WEST 300 NORTH,BOUNTIFUL,
Residential,1153.757,108 WEST 300 NORTH,BOUNTIFUL,
Residential,3082.191,1146 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,4153.52,1685 EAST VIEWCREST DRIVE,BOUNTIFUL,
Residential,2307.517,785 NORTH 700 WEST,WEST BOUNTIFUL,
Residential,2637.156,492 EAST 550 NORTH,BOUNTIFUL,
Residential,2373.44,1202 EAST CENTER STREET,BOUNTIFUL,
Residential,1483.41,515 NORTH 1100 EAST,BOUNTIFUL,
Residential,2307.508,572 NORTH 870 WEST,WEST BOUNTIFUL,
Industrial,12526.48,540 NORTH 500 WEST,BOUNTIFUL,
Residential,1648.236,1328 EAST 600 NORTH,BOUNTIFUL,
Residential,1269.126,1083 EAST 250 NORTH,BOUNTIFUL,
Residential,2175.656,296 NORTH 300 WEST,BOUNTIFUL,
Residential,2076.757,1071 EAST 250 NORTH,BOUNTIFUL,
Residential,2142.694,303 NORTH 350 WEST,BOUNTIFUL,
Residential,4071.115,808 NORTH VINTAGE CIRCLE,WEST BOUNTIFUL,
Residential,3263.492,780 NORTH 660 WEST,WEST BOUNTIFUL,
Commercial,1714.135,,,
Residential,2472.318,859 EAST CENTER STREET,BOUNTIFUL,
Residential,1615.252,601 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,3692.013,520 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,2505.31,1328 EAST VINEYARD DRIVE,BOUNTIFUL,
Residential,3164.583,844 WEST 550 NORTH,WEST BOUNTIFUL,
Residential,494.4638,308 NORTH 100 EAST,BOUNTIFUL,
Residential,5669.898,720 WEST 220 NORTH,WEST BOUNTIFUL,
Residential,2142.699,783 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,791.1398,160 WEST CENTER STREET,BOUNTIFUL,
Residential,1483.399,802 NORTH 400 EAST,BOUNTIFUL,
Residential,2521.792,633 WEST 800 NORTH,WEST BOUNTIFUL,
Industrial,1450.43,,,
Industrial,1813.069,573 WEST 550 NORTH,WEST BOUNTIFUL,
Residential,1087.829,305 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1961.384,895 EAST CENTER STREET,BOUNTIFUL,
Agriculture,5538.036,,,
Residential,2373.433,603 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,527.4301,,,
Residential,2373.458,478 NORTH 1250 EAST,BOUNTIFUL,
Residential,2142.696,1080 EAST CENTER STREET,BOUNTIFUL,
Residential,2769.011,575 NORTH 870 WEST,WEST BOUNTIFUL,
Residential,2373.454,305 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,3032.717,297 NORTH PHEASANT RIDGE COURT,BOUNTIFUL,
